# Version 1.00
#
freq[Hz]	re:Trc1_S11	im:Trc1_S11	re:Trc2_S11	im:Trc2_S11	
1.675000000000000E+008	1.859500631690025E-002	7.142540812492371E-001	1.859500631690025E-002	7.142540812492371E-001	
1.680000000000000E+008	1.776307374238968E-001	6.893860101699829E-001	1.776307374238968E-001	6.893860101699829E-001	
1.685000000000000E+008	3.285701274871826E-001	6.311943531036377E-001	3.285701274871826E-001	6.311943531036377E-001	
1.690000000000000E+008	4.622544050216675E-001	5.397776961326599E-001	4.622544050216675E-001	5.397776961326599E-001	
1.695000000000000E+008	5.726112723350525E-001	4.221152961254120E-001	5.726112723350525E-001	4.221152961254120E-001	
1.700000000000000E+008	6.527144908905029E-001	2.834325134754181E-001	6.527144908905029E-001	2.834325134754181E-001	
1.705000000000000E+008	7.023892402648926E-001	1.258706152439117E-001	7.023892402648926E-001	1.258706152439117E-001	
1.710000000000000E+008	7.134637236595154E-001	-3.509401530027390E-002	7.134637236595154E-001	-3.509401530027390E-002	
1.715000000000000E+008	6.889611482620239E-001	-1.965640038251877E-001	6.889611482620239E-001	-1.965640038251877E-001	
1.720000000000000E+008	6.273328065872192E-001	-3.473613262176514E-001	6.273328065872192E-001	-3.473613262176514E-001	
1.725000000000000E+008	5.342231988906860E-001	-4.810442030429840E-001	5.342231988906860E-001	-4.810442030429840E-001	
1.730000000000000E+008	4.143814742565155E-001	-5.893269181251526E-001	4.143814742565155E-001	-5.893269181251526E-001	
1.735000000000000E+008	2.725912034511566E-001	-6.678987741470337E-001	2.725912034511566E-001	-6.678987741470337E-001	
1.740000000000000E+008	1.196108013391495E-001	-7.138741016387940E-001	1.196108013391495E-001	-7.138741016387940E-001	
1.745000000000000E+008	-3.914095088839531E-002	-7.221411466598511E-001	-3.914095088839531E-002	-7.221411466598511E-001	
1.750000000000000E+008	-1.950695812702179E-001	-6.973658204078674E-001	-1.950695812702179E-001	-6.973658204078674E-001	
1.755000000000000E+008	-3.407717943191528E-001	-6.381449103355408E-001	-3.407717943191528E-001	-6.381449103355408E-001	
1.760000000000000E+008	-4.691879749298096E-001	-5.522676706314087E-001	-4.691879749298096E-001	-5.522676706314087E-001	
1.765000000000000E+008	-5.763196945190430E-001	-4.398808181285858E-001	-5.763196945190430E-001	-4.398808181285858E-001	
1.770000000000000E+008	-6.565820574760437E-001	-3.090970516204834E-001	-6.565820574760437E-001	-3.090970516204834E-001	
1.775000000000000E+008	-7.051625251770020E-001	-1.646368801593781E-001	-7.051625251770020E-001	-1.646368801593781E-001	
1.780000000000000E+008	-7.232620120048523E-001	-1.452608592808247E-002	-7.232620120048523E-001	-1.452608592808247E-002	
1.785000000000000E+008	-7.100529074668884E-001	1.356732398271561E-001	-7.100529074668884E-001	1.356732398271561E-001	
1.790000000000000E+008	-6.653197407722473E-001	2.777673900127411E-001	-6.653197407722473E-001	2.777673900127411E-001	
1.795000000000000E+008	-5.923072099685669E-001	4.085246622562408E-001	-5.923072099685669E-001	4.085246622562408E-001	
1.800000000000000E+008	-4.947252571582794E-001	5.232786536216736E-001	-4.947252571582794E-001	5.232786536216736E-001	
1.805000000000000E+008	-3.780544996261597E-001	6.118894815444946E-001	-3.780544996261597E-001	6.118894815444946E-001	
1.810000000000000E+008	-2.428674548864365E-001	6.744793057441711E-001	-2.428674548864365E-001	6.744793057441711E-001	
1.815000000000000E+008	-9.679466485977173E-002	7.092391848564148E-001	-9.679466485977173E-002	7.092391848564148E-001	
1.820000000000000E+008	5.280227959156036E-002	7.138329148292542E-001	5.280227959156036E-002	7.138329148292542E-001	
1.825000000000000E+008	2.020086497068405E-001	6.856691241264343E-001	2.020086497068405E-001	6.856691241264343E-001	
1.830000000000000E+008	3.413684964179993E-001	6.284125447273254E-001	3.413684964179993E-001	6.284125447273254E-001	
1.835000000000000E+008	4.646109938621521E-001	5.417857170104981E-001	4.646109938621521E-001	5.417857170104981E-001	
1.840000000000000E+008	5.693304538726807E-001	4.293673336505890E-001	5.693304538726807E-001	4.293673336505890E-001	
1.845000000000000E+008	6.465006470680237E-001	2.975564599037170E-001	6.465006470680237E-001	2.975564599037170E-001	
1.850000000000000E+008	6.949798464775085E-001	1.516622602939606E-001	6.949798464775085E-001	1.516622602939606E-001	
1.855000000000000E+008	7.120762467384338E-001	-2.817064756527543E-003	7.120762467384338E-001	-2.817064756527543E-003	
1.860000000000000E+008	6.926772594451904E-001	-1.576599776744843E-001	6.926772594451904E-001	-1.576599776744843E-001	
1.865000000000000E+008	6.422529816627502E-001	-3.058933317661285E-001	6.422529816627502E-001	-3.058933317661285E-001	
1.870000000000000E+008	5.580645203590393E-001	-4.382562339305878E-001	5.580645203590393E-001	-4.382562339305878E-001	
1.875000000000000E+008	4.485818445682526E-001	-5.497469902038574E-001	4.485818445682526E-001	-5.497469902038574E-001	
1.880000000000000E+008	3.176577389240265E-001	-6.343641281127930E-001	3.176577389240265E-001	-6.343641281127930E-001	
1.885000000000000E+008	1.705440580844879E-001	-6.860406398773193E-001	1.705440580844879E-001	-6.860406398773193E-001	
