# Version 1.00
#
freq[Hz]	Trc1_S11[U]	Trc2_S11[U]	
1.905000000000000E+008	5.999246760992318E+000	5.999246760992318E+000	
1.910000000000000E+008	5.951153513404742E+000	5.951153513404742E+000	
1.915000000000000E+008	5.986689767830685E+000	5.986689767830685E+000	
1.920000000000000E+008	5.952661233852960E+000	5.952661233852960E+000	
1.925000000000000E+008	5.909947342108077E+000	5.909947342108077E+000	
1.930000000000000E+008	5.875793415721335E+000	5.875793415721335E+000	
1.935000000000000E+008	5.857052085405043E+000	5.857052085405043E+000	
1.940000000000000E+008	5.801925553341720E+000	5.801925553341720E+000	
1.945000000000000E+008	5.791601398259178E+000	5.791601398259178E+000	
1.950000000000000E+008	5.746305657399568E+000	5.746305657399568E+000	
1.955000000000000E+008	5.732422306694152E+000	5.732422306694152E+000	
1.960000000000000E+008	5.709883102937326E+000	5.709883102937326E+000	
1.965000000000000E+008	5.717997233242628E+000	5.717997233242628E+000	
1.970000000000000E+008	5.687553425762937E+000	5.687553425762937E+000	
1.975000000000000E+008	5.686264745246274E+000	5.686264745246274E+000	
1.980000000000000E+008	5.671816165706266E+000	5.671816165706266E+000	
1.985000000000000E+008	5.663013099083401E+000	5.663013099083401E+000	
1.990000000000000E+008	5.648047527657467E+000	5.648047527657467E+000	
1.995000000000000E+008	5.617643558839401E+000	5.617643558839401E+000	
2.000000000000000E+008	5.626023489034642E+000	5.626023489034642E+000	
